pop,x,y,status,inftime,rem_time
1,134.00924624436794,272.27237074589823,1,51,54
1,220.59064501073334,101.19256020289652,2,19,22
1,187.15506956807457,186.98182458295065,2,5,8
1,293.3969822344384,207.12513534660792,2,21,24
1,227.12509466491514,298.5228990241027,0,0,0
1,246.7862635580853,192.5317683007674,2,13,16
1,112.70698306224376,110.51647663271756,2,13,16
1,149.0982651748945,140.01174750743223,2,13,16
1,113.24562286034556,141.29788583985834,0,0,0
1,197.17163892500218,150.115368830195,2,9,12
1,269.30893139212765,154.60848649914726,2,12,15
1,238.88899526243785,259.0341890357489,0,0,0
1,244.7459470226605,185.81850472409292,2,9,12
1,124.78227448612166,189.2150622018361,2,2,5
1,212.6656061944841,154.80836081958856,2,21,24
1,188.8891146606124,136.11145697272286,0,0,0
1,254.67040890986019,100.44488979430378,0,0,0
1,296.0079205463768,287.97156403579913,2,33,36
1,198.3453537375041,187.7952682541091,2,13,16
1,236.08645818807008,198.37728008562266,2,12,15
1,103.65387481628538,176.3669217534832,2,21,24
1,104.12530216439512,155.67521034566386,2,10,13
1,101.20114420524709,219.39184085153192,2,14,17
1,218.90224165164508,109.81035809196113,2,31,34
1,201.06500282247703,195.73691800724058,2,6,9
1,203.69652521701352,235.0230422486803,1,51,54
1,230.03548161688084,104.26952651623702,2,31,34
1,208.31026718250993,166.32671760171206,2,24,27
1,283.8890817576423,219.53085525545927,0,0,0
1,287.4986206515263,190.1530031943513,2,30,33
1,292.1374117898471,135.26815866387815,0,0,0
1,140.8831632095094,137.8959959131936,2,2,5
1,275.7080475765779,109.18795022665422,0,0,0
1,261.2019452073188,124.96011661053657,2,24,27
1,287.3875846897761,293.7559866982743,0,0,0
1,148.31799769132635,210.8358784573976,2,13,16
1,280.804128284116,185.54743341078816,2,22,25
1,273.53112556576406,133.2006387679695,2,37,40
1,282.24741184679897,240.52647630994682,0,0,0
1,123.20478575282957,137.94329583333035,2,7,10
1,235.90065778812,273.93349098785586,0,0,0
1,182.85625915266706,215.4985851177543,2,15,18
1,167.78029140300703,131.96980794945733,2,44,47
1,179.27560349854875,276.2883159720533,2,13,16
1,258.8918521035811,152.1514583849564,2,28,31
1,267.40642124909766,247.71612202945713,2,27,30
1,188.90191197723183,204.249177341032,2,31,34
1,200.5473341550415,261.5947304109502,2,39,42
1,281.9324730888487,222.71649765682224,2,5,8
1,110.13528536969237,127.11284220782015,2,23,26
1,115.6508985704609,196.26385900843366,2,11,14
1,240.04650899801513,193.37092771277923,0,0,0
1,135.20815203856654,180.75948872113167,2,9,12
1,230.44095505244724,252.1913684001141,2,12,15
1,215.2457879229119,181.396544904746,2,6,9
1,260.7309803056942,100.89608885131607,0,0,0
1,139.34732654722666,256.53337905916067,1,48,51
1,296.90994899917297,226.53335838122467,2,24,27
1,146.01217048690066,246.86947439150325,2,17,20
1,143.52294603562004,268.7914104665674,2,15,18
1,200.99355903839734,262.49649118791103,2,20,23
