delta2,29.898512660405405,24.00019864386964,42.10073514229926,mod1a,mod1a,a22b2d50h40,1
alpha,1.5295682807342426,1.0848122105653466,1.9906693149434618,mod1a,mod1a,a22b2d50h40,8
beta,1.8476861892336378,1.7603376055361808,1.9315465974793906,mod1a,mod1a,a22b2d50h40,8
delta1,0.429534854730329,0.3335907366783234,0.5231774714395332,mod1a,mod1a,a22b2d50h40,8
delta2,50.831393466118996,37.02034179325935,64.1294397198206,mod1a,mod1a,a22b2d50h40,8
alpha,1.8263193418160737,1.3205364856679134,2.3592204622128827,mod1a,mod1a,a22b2d80h40,9
beta,1.893689071218402,1.8017630571461627,1.9841331310151182,mod1a,mod1a,a22b2d80h40,9
delta1,0.7703261302667876,0.7310923192119874,0.8086579495954573,mod1a,mod1a,a22b2d80h40,9
delta2,41.49452754213191,40.00426782207395,42.84939475468601,mod1a,mod1a,a22b2d80h40,9
alpha,1.6162676033097145,1.1431607202502965,2.1374245528816456,mod1a,mod1a,a22b2d80h40,15
beta,1.8050341180091336,1.7090772122810414,1.8985957925597992,mod1a,mod1a,a22b2d80h40,15
delta1,0.792837745726912,0.7566285100730363,0.8269560403940664,mod1a,mod1a,a22b2d80h40,15
delta2,40.982777302733425,39.08126927032562,42.865875275003354,mod1a,mod1a,a22b2d80h40,15
alpha,2.457808082624131,1.7651776100326693,3.142978794891815,mod2a,mod2a,a24b2d005,11
beta,1.9306070027556235,1.8421625779631776,2.0125999141538427,mod2a,mod2a,a24b2d005,11
delta1,0.005284987583629107,0.004260470924850327,0.006288222742821618,mod2a,mod2a,a24b2d005,11
alpha,2.0591438740901964,1.333169182357859,2.830762514372209,mod3a,mod3a,a24b2d80d02,8
beta,1.9380186530321715,1.852270094438013,2.0290317698028355,mod3a,mod3a,a24b2d80d02,8
delta1,0.774565220901544,0.6137768242895548,0.9981644377084349,mod3a,mod3a,a24b2d80d02,8
delta2,0.017353040649688223,0.0063208034830008674,0.03321306637541736,mod3a,mod3a,a24b2d80d02,8
alpha,2.0093447292604565,1.4497146791553197,2.5978424773267554,mod1a,mod1a,a22b2d80h40,13
beta,1.9009314282249572,1.8097099052084054,1.9956102016542543,mod1a,mod1a,a22b2d80h40,13
delta1,0.7999593275202818,0.7663969552430517,0.8335509058115045,mod1a,mod1a,a22b2d80h40,13
delta2,40.501915883042926,40.01746707177374,40.965957327004716,mod1a,mod1a,a22b2d80h40,13
